iter	Passed	Remaining
0	125	125323
1	136	67931
2	146	48534
3	156	38967
4	167	33233
5	176	29298
6	186	26447
7	195	24180
8	205	22655
9	215	21343
10	226	20323
11	235	19415
12	245	18603
13	255	18000
14	264	17348
15	274	16869
16	283	16394
17	293	15995
18	302	15634
19	312	15329
20	323	15069
21	332	14801
22	342	14559
23	351	14291
24	360	14067
25	370	13882
26	380	13701
27	389	13517
28	398	13352
29	408	13212
30	417	13053
31	428	12950
32	437	12825
33	447	12704
34	456	12595
35	466	12484
36	475	12376
37	485	12283
38	519	12809
39	539	12945
40	552	12924
41	562	12832
42	571	12721
43	580	12610
44	589	12516
45	598	12422
46	608	12328
47	616	12228
48	625	12138
49	634	12049
50	643	11975
51	651	11882
52	661	11813
53	669	11736
54	678	11661
55	687	11589
56	698	11556
57	708	11504
58	717	11447
59	727	11397
60	735	11325
61	745	11280
62	755	11231
63	764	11173
64	773	11120
65	782	11074
66	792	11037
67	803	11006
68	813	10969
69	822	10933
70	833	10901
71	843	10865
72	853	10836
73	863	10801
74	872	10758
75	881	10721
76	890	10678
77	899	10627
78	909	10605
79	919	10570
80	928	10531
81	938	10503
82	946	10456
83	955	10419
84	963	10375
85	972	10340
86	981	10303
87	991	10280
88	1000	10240
89	1009	10203
90	1018	10171
91	1027	10137
92	1035	10102
93	1047	10091
94	1056	10067
95	1065	10035
96	1075	10013
97	1084	9980
98	1094	9965
99	1104	9937
100	1113	9908
101	1123	9887
102	1132	9859
103	1141	9836
104	1151	9817
105	1161	9799
106	1172	9787
107	1182	9763
108	1191	9738
109	1200	9716
110	1210	9696
111	1220	9674
112	1228	9645
113	1238	9624
114	1247	9599
115	1256	9572
116	1264	9546
117	1273	9522
118	1282	9495
119	1291	9469
120	1300	9445
121	1309	9425
122	1318	9398
123	1329	9393
124	1342	9400
125	1355	9401
126	1366	9395
127	1377	9386
128	1389	9381
129	1399	9368
130	1410	9355
131	1420	9338
132	1430	9324
133	1441	9313
134	1451	9301
135	1461	9286
136	1472	9275
137	1483	9269
138	1493	9252
139	1503	9237
140	1512	9216
141	1522	9200
142	1532	9181
143	1540	9156
144	1549	9135
145	1557	9110
146	1566	9088
147	1575	9070
148	1584	9048
149	1594	9034
150	1604	9021
151	1614	9006
152	1622	8983
153	1633	8972
154	1642	8952
155	1651	8934
156	1661	8918
157	1669	8897
158	1679	8882
159	1688	8865
160	1698	8851
161	1708	8839
162	1717	8821
163	1727	8805
164	1736	8785
165	1745	8768
166	1755	8756
167	1764	8739
168	1774	8726
169	1783	8708
170	1793	8693
171	1802	8679
172	1813	8667
173	1822	8650
174	1831	8634
175	1839	8613
176	1848	8596
177	1857	8578
178	1866	8559
179	1875	8545
180	1883	8524
181	1893	8508
182	1904	8501
183	1914	8491
184	1924	8479
185	1933	8463
186	1943	8450
187	1952	8433
188	1963	8425
189	1971	8406
190	1981	8394
191	1991	8380
192	1999	8361
193	2010	8350
194	2019	8336
195	2028	8321
196	2038	8308
197	2047	8293
198	2058	8284
199	2067	8271
200	2077	8257
201	2086	8241
202	2095	8226
203	2103	8208
204	2113	8196
205	2121	8178
206	2131	8164
207	2139	8146
208	2148	8131
209	2157	8116
210	2166	8101
211	2175	8087
212	2184	8070
213	2193	8058
214	2203	8046
215	2213	8035
216	2222	8020
217	2233	8012
218	2243	7999
219	2252	7985
220	2261	7971
221	2270	7957
222	2280	7947
223	2290	7934
224	2298	7918
225	2309	7909
226	2319	7898
227	2330	7891
228	2340	7879
229	2349	7866
230	2359	7853
231	2368	7840
232	2377	7827
233	2387	7815
234	2397	7804
235	2406	7790
236	2415	7777
237	2425	7764
238	2433	7749
239	2443	7737
240	2453	7725
241	2462	7714
242	2471	7699
243	2481	7688
244	2490	7674
245	2498	7658
246	2507	7643
247	2515	7628
248	2525	7616
249	2534	7602
250	2543	7588
251	2551	7573
252	2562	7566
253	2571	7551
254	2580	7538
255	2590	7529
256	2599	7516
257	2609	7505
258	2619	7495
259	2628	7481
260	2638	7469
261	2648	7459
262	2657	7448
263	2667	7437
264	2677	7427
265	2686	7413
266	2696	7401
267	2705	7389
268	2715	7379
269	2725	7368
270	2734	7356
271	2743	7344
272	2753	7333
273	2763	7321
274	2773	7312
275	2782	7298
276	2792	7289
277	2803	7279
278	2813	7271
279	2823	7259
280	2832	7247
281	2843	7241
282	2853	7228
283	2863	7219
284	2872	7205
285	2881	7193
286	2890	7180
287	2899	7168
288	2907	7154
289	2916	7141
290	2925	7128
291	2934	7115
292	2942	7101
293	2952	7088
294	2961	7076
295	2970	7064
296	2979	7052
297	2988	7039
298	2997	7027
299	3005	7012
300	3015	7001
301	3023	6987
302	3033	6977
303	3041	6964
304	3051	6954
305	3062	6946
306	3071	6933
307	3080	6922
308	3090	6910
309	3100	6900
310	3109	6888
311	3119	6878
